Time,Open,High,Low,Latest,Change,%Change,Volume,Open Int
9/28/2009,991.38,996.91,986.27,991.22,0.32,0.03%,101596,450175
9/29/2009,990.9,996,985,992.3,1.08,0.11%,117913,452994
9/30/2009,992.3,1009.35,992,1007.75,15.45,1.56%,150963,454710
10/1/2009,1007.88,1009.92,997.8,999.85,-7.9,-0.78%,120796,441822
10/2/2009,999.28,1007.46,986.98,1002.99,3.14,0.31%,148050,452778
10/5/2009,1003.21,1017.81,1001.06,1017.28,14.29,1.42%,109695,451352
10/6/2009,1017.44,1043.74,1015.64,1041.96,24.68,2.43%,233572,484307
10/7/2009,1042,1048.37,1036.84,1044.02,2.06,0.20%,110528,482695
10/8/2009,1044.25,1061.51,1043.1,1055.25,11.23,1.08%,215849,500187
10/9/2009,1054.85,1055.4,1044,1049.15,-6.1,-0.58%,130506,502513
10/12/2009,1048.95,1059.52,1047.33,1056.93,7.78,0.74%,80303,498551
10/13/2009,1057.11,1068.74,1051.37,1064.43,7.5,0.71%,147332,504187
10/14/2009,1063.89,1070.73,1056.15,1062.75,-1.68,-0.16%,137853,510752
10/15/2009,1062.52,1065.84,1046.71,1050.13,-12.62,-1.19%,162299,511391
10/16/2009,1050.15,1056.95,1043.55,1052.85,2.72,0.26%,125365,514718
10/19/2009,1053.3,1065,1048.2,1064.8,11.95,1.14%,102591,509988
10/20/2009,1064.24,1067.97,1052.64,1055.91,-8.89,-0.83%,130637,500348
10/21/2009,1055.4,1065,1048.1,1058.9,2.99,0.28%,158527,516832
10/22/2009,1058.95,1061.65,1051.8,1060.45,1.55,0.15%,115232,506698
10/23/2009,1060.03,1067.75,1050.32,1055.19,-5.26,-0.50%,161006,503374
10/26/2009,1054.96,1059.86,1037.88,1038.44,-16.75,-1.59%,173354,509265
10/27/2009,1038.65,1043.85,1032.6,1039.5,1.06,0.10%,166447,497479
10/28/2009,1040.08,1041.86,1026.66,1028,-11.5,-1.11%,164134,488707
10/29/2009,1028.4,1048,1026.5,1047.5,19.5,1.90%,141509,496091
10/30/2009,1047.2,1048.8,1035.1,1045.7,-1.8,-0.17%,141358,481961
11/2/2009,1041.99,1063.02,1041.96,1059.39,13.69,1.31%,140871,492016
11/3/2009,1059.4,1088,1055.2,1084.6,25.21,2.38%,221572,505904
11/4/2009,1084.53,1097.68,1080.41,1092.78,8.18,0.75%,213028,511924
11/5/2009,1092,1094.7,1084.2,1090.25,-2.53,-0.23%,124094,510744
11/6/2009,1090.46,1101.4,1087.34,1095.16,4.91,0.45%,200380,521455
11/9/2009,1098.65,1111.28,1095.83,1104.3,9.14,0.83%,164004,521618
11/10/2009,1103.87,1109.35,1097.23,1105.54,1.24,0.11%,175589,526176
11/11/2009,1105.84,1118.86,1105.76,1117.88,12.34,1.12%,189848,515330
11/12/2009,1117.44,1123.5,1103.02,1103.78,-14.1,-1.26%,195366,518070
11/13/2009,1103.15,1119.55,1101.25,1119.2,15.42,1.40%,170472,519961
11/16/2009,1118.9,1143.7,1118.9,1139.6,20.4,1.82%,227534,522332
11/17/2009,1139.45,1142.35,1127.7,1141.8,2.2,0.19%,164938,526619
