Time,Open,High,Low,Latest,Change,%Change,Volume,Open Int
9/28/2009,1702.95,1733.79,1702.52,1724.59,30.44,1.80%,251296,327506
9/29/2009,1724.2,1732.31,1709.28,1717.67,-6.92,-0.40%,276659,314227
9/30/2009,1723.91,1731.44,1691.76,1718.99,1.32,0.08%,428033,321179
10/1/2009,1710.5,1711.7,1666.41,1666.41,-52.58,-3.06%,405645,315530
10/2/2009,1656.77,1676.22,1656.57,1662.49,-3.92,-0.24%,367206,326641
10/5/2009,1668.7,1682.77,1660.37,1675.64,13.15,0.79%,261887,324323
10/6/2009,1684.75,1712.59,1684.08,1705.25,29.61,1.77%,348176,331533
10/7/2009,1701.4,1710.45,1698.63,1710.45,5.2,0.30%,235792,325098
10/8/2009,1720.91,1732.11,1713.6,1717.79,7.34,0.43%,298348,323894
10/9/2009,1713.47,1729.22,1710.58,1727.76,9.97,0.58%,207461,319278
10/12/2009,1732.75,1742.18,1719.02,1729.63,1.87,0.11%,178798,312718
10/13/2009,1729.16,1737.39,1722.68,1730.27,0.64,0.04%,218766,313722
10/14/2009,1750.26,1756.25,1742.25,1754.26,23.99,1.39%,279529,319045
10/15/2009,1747.81,1753.36,1742.89,1753.36,-0.9,-0.05%,261061,325961
10/16/2009,1747.47,1747.47,1727.56,1739.32,-14.04,-0.80%,334547,322745
10/19/2009,1741.43,1758.5,1732.02,1756.68,17.36,1.00%,271294,324609
10/20/2009,1766.05,1766.72,1745.81,1756.19,-0.49,-0.03%,325581,319796
10/21/2009,1754.71,1780.83,1750.91,1753.56,-2.63,-0.15%,321707,318923
10/22/2009,1749.3,1767.58,1739.59,1763.15,9.59,0.55%,344573,318346
10/23/2009,1773.85,1777.57,1749.03,1753.63,-9.52,-0.54%,358727,316982
10/26/2009,1756.5,1778.48,1739.96,1746.75,-6.88,-0.39%,393390,321716
10/27/2009,1746.99,1751.65,1715.11,1722.46,-24.29,-1.39%,442816,325381
10/28/2009,1712.8,1719.82,1679.35,1682.06,-40.4,-2.35%,441719,329776
10/29/2009,1694.27,1714.36,1688.68,1711.27,29.21,1.74%,298159,320962
10/30/2009,1707.92,1712.93,1663.94,1667.13,-44.14,-2.58%,452898,319395
11/2/2009,1667.06,1689.3,1652.44,1672.91,5.78,0.35%,456913,318864
11/3/2009,1661.85,1679.42,1660.1,1679.2,6.29,0.38%,324038,314931
11/4/2009,1687.12,1701.47,1678.17,1680.67,1.47,0.09%,350977,313213
11/5/2009,1700.07,1722.93,1697.94,1721.09,40.42,2.40%,334287,324152
11/6/2009,1709.82,1733.22,1709.44,1730.76,9.67,0.56%,293875,301610
11/9/2009,1743.55,1768.41,1742.97,1768.4,37.64,2.17%,277022,301153
11/10/2009,1765.52,1777.86,1763.89,1773.17,4.77,0.27%,256300,307895
11/11/2009,1784.9,1793.52,1772.47,1782.95,9.78,0.55%,288557,311139
11/12/2009,1784.69,1794.12,1769.64,1773.14,-9.81,-0.55%,279594,316607
11/13/2009,1780.04,1793.17,1773.29,1788.61,15.47,0.87%,253768,327560
11/16/2009,1794.88,1814.25,1793.63,1807.56,18.95,1.06%,295089,329481
11/17/2009,1802.04,1812.21,1797.74,1812.21,4.65,0.26%,214977,328381
11/18/2009,1807.11,1807.53,1789.66,1801.74,-10.47,-0.58%,257958,337635
11/19/2009,1788.75,1789,1761.11,1773.19,-28.55,-1.58%,356815,342409
11/20/2009,1760.54,1768.35,1758,1764.39,-8.8,-0.50%,225939,350015
11/23/2009,1782.92,1801.22,1782.91,1792.94,28.55,1.62%,261675,363074
11/24/2009,1791.54,1792.18,1776.1,1786.25,-6.69,-0.37%,220517,354093
11/25/2009,1790.69,1795.27,1786.87,1793.67,7.42,0.42%,170710,354200
